P_TOTAL,POB0_4,POB18_,PNACOENT,GRADOESCO,PCASADA12_,P_1SM,P1_2SM,P2_5SM,P6_10SM,P10_SM,T_VIVHAB,VIVPARHAB,PRO_OCVP,PRO_OVP,VP_TV,TOTHOG
437.0,68.0,236.0,35.0,6.0,163.0,9.0,48.0,39.0,6.0,0.0,94.0,92.0,1.81,4.66,84.0,94.0
871.0,121.0,468.0,48.0,6.0,346.0,16.0,116.0,48.0,5.0,1.0,172.0,172.0,1.76,5.06,159.0,175.0
866.0,110.0,476.0,125.0,6.0,331.0,11.0,127.0,57.0,3.0,1.0,182.0,178.0,1.78,4.78,160.0,188.0
342.0,43.0,184.0,55.0,6.0,139.0,4.0,33.0,24.0,1.0,1.0,73.0,73.0,1.49,4.68,64.0,73.0
298.0,48.0,142.0,10.0,4.0,127.0,0.0,22.0,13.0,0.0,1.0,62.0,62.0,2.1,4.81,51.0,62.0
131.0,19.0,58.0,3.0,5.0,39.0,2.0,7.0,7.0,0.0,0.0,25.0,25.0,1.7,5.24,24.0,25.0
3959.0,495.0,2097.0,515.0,7.0,1444.0,157.0,444.0,401.0,71.0,15.0,795.0,792.0,1.46,4.91,743.0,817.0
633.0,91.0,314.0,15.0,6.0,223.0,4.0,64.0,39.0,3.0,0.0,128.0,128.0,1.58,4.95,114.0,128.0
51.0,7.0,23.0,2.0,5.0,15.0,0.0,3.0,0.0,0.0,0.0,7.0,7.0,2.83,7.29,4.0,7.0
59.0,7.0,27.0,3.0,6.0,21.0,1.0,2.0,0.0,0.0,0.0,10.0,10.0,2.19,5.9,10.0,10.0
20.0,1.0,13.0,0.0,4.0,6.0,0.0,4.0,2.0,0.0,0.0,4.0,4.0,1.33,5.0,3.0,4.0
13.0,3.0,9.0,7.0,3.0,6.0,0.0,1.0,3.0,0.0,0.0,3.0,3.0,2.6,4.33,3.0,3.0
158.0,22.0,81.0,44.0,5.0,57.0,0.0,25.0,8.0,0.0,0.0,35.0,35.0,1.96,4.51,31.0,37.0
45.0,4.0,19.0,11.0,7.0,13.0,0.0,4.0,3.0,0.0,0.0,7.0,7.0,2.81,6.43,7.0,7.0
39.0,6.0,19.0,10.0,6.0,12.0,0.0,4.0,2.0,0.0,0.0,5.0,5.0,1.86,7.8,4.0,5.0
22.0,5.0,12.0,7.0,3.0,8.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,2.2,4.4,4.0,5.0
24.0,3.0,12.0,4.0,5.0,10.0,0.0,2.0,0.0,0.0,0.0,5.0,5.0,3.0,4.8,5.0,5.0
48.0,4.0,22.0,6.0,5.0,12.0,2.0,5.0,0.0,0.0,0.0,7.0,7.0,2.67,6.86,7.0,8.0
18.0,1.0,11.0,8.0,4.0,8.0,1.0,2.0,0.0,0.0,0.0,5.0,5.0,1.64,3.6,5.0,5.0
27.0,4.0,23.0,4.0,4.0,14.0,1.0,2.0,4.0,0.0,1.0,9.0,9.0,1.5,3.0,5.0,9.0
16.0,3.0,11.0,10.0,5.0,6.0,0.0,2.0,0.0,0.0,1.0,4.0,4.0,2.0,4.0,2.0,4.0
30.0,5.0,12.0,5.0,6.0,8.0,1.0,3.0,2.0,0.0,0.0,4.0,4.0,3.33,7.5,4.0,4.0
26.0,4.0,12.0,5.0,5.0,8.0,0.0,2.0,3.0,0.0,0.0,4.0,4.0,1.86,6.5,3.0,5.0
298.0,44.0,137.0,9.0,4.0,104.0,2.0,11.0,8.0,0.0,0.0,39.0,39.0,3.43,7.64,29.0,53.0
14.0,5.0,6.0,3.0,6.0,6.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,3.5,4.67,3.0,3.0
135.0,33.0,46.0,32.0,4.0,40.0,2.0,8.0,2.0,0.0,0.0,20.0,20.0,3.46,6.75,18.0,20.0
21.0,0.0,16.0,7.0,6.0,11.0,0.0,2.0,3.0,0.0,0.0,4.0,4.0,1.75,5.25,2.0,4.0
27.0,6.0,13.0,0.0,6.0,9.0,2.0,4.0,0.0,0.0,0.0,5.0,5.0,2.45,5.4,3.0,5.0
121.0,18.0,71.0,8.0,5.0,42.0,6.0,11.0,1.0,0.0,0.0,30.0,30.0,1.59,4.03,26.0,30.0
150.0,27.0,88.0,17.0,4.0,62.0,8.0,33.0,6.0,0.0,0.0,32.0,32.0,1.9,4.69,28.0,33.0
517.0,50.0,279.0,33.0,6.0,175.0,34.0,84.0,34.0,3.0,2.0,100.0,100.0,1.67,5.17,92.0,101.0
1455.0,194.0,708.0,78.0,5.0,479.0,64.0,233.0,28.0,4.0,1.0,281.0,279.0,2.17,5.19,251.0,284.0
9.0,0.0,8.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.9,3.0,0.0,3.0
644.0,78.0,332.0,138.0,6.0,214.0,10.0,64.0,8.0,3.0,0.0,129.0,128.0,1.49,5.0,121.0,129.0
1160.0,147.0,599.0,422.0,5.0,439.0,47.0,125.0,39.0,2.0,2.0,255.0,254.0,1.52,4.55,243.0,254.0
1867.0,208.0,1012.0,154.0,6.0,642.0,87.0,280.0,57.0,5.0,3.0,401.0,400.0,1.75,4.66,383.0,408.0
47.0,4.0,23.0,20.0,5.0,15.0,4.0,8.0,2.0,0.0,1.0,11.0,10.0,1.34,4.3,7.0,10.0
1089.0,190.0,495.0,174.0,5.0,367.0,57.0,224.0,22.0,1.0,1.0,194.0,193.0,2.31,5.62,169.0,197.0
6105.0,724.0,3358.0,803.0,6.0,2285.0,278.0,916.0,366.0,58.0,17.0,1345.0,1341.0,1.55,4.54,1254.0,1364.0
115.0,14.0,44.0,18.0,4.0,36.0,4.0,21.0,3.0,0.0,0.0,18.0,17.0,3.7,6.53,15.0,17.0
509.0,46.0,272.0,69.0,6.0,185.0,28.0,39.0,15.0,6.0,2.0,119.0,115.0,1.32,4.29,110.0,115.0
296.0,36.0,160.0,45.0,5.0,113.0,6.0,20.0,3.0,2.0,1.0,61.0,61.0,1.56,4.85,41.0,61.0
305.0,38.0,156.0,14.0,5.0,108.0,44.0,40.0,8.0,2.0,0.0,65.0,65.0,1.82,4.69,47.0,65.0
685.0,78.0,407.0,40.0,6.0,282.0,44.0,56.0,57.0,5.0,2.0,164.0,163.0,1.1,4.15,160.0,168.0
5.0,0.0,5.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.83,1.67,3.0,3.0
19.0,1.0,12.0,1.0,5.0,6.0,1.0,1.0,0.0,0.0,0.0,7.0,6.0,1.36,2.5,4.0,6.0
72.0,9.0,44.0,6.0,5.0,25.0,0.0,3.0,1.0,0.0,0.0,16.0,15.0,1.67,4.53,14.0,15.0
132.0,13.0,90.0,9.0,6.0,44.0,2.0,17.0,4.0,2.0,0.0,27.0,27.0,1.31,4.89,26.0,27.0
1707.0,210.0,900.0,137.0,6.0,601.0,82.0,233.0,54.0,7.0,1.0,336.0,334.0,1.86,5.09,317.0,342.0
21.0,4.0,9.0,4.0,4.0,6.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,1.91,5.25,2.0,4.0
19.0,1.0,9.0,2.0,3.0,6.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,1.9,6.33,3.0,3.0
309.0,26.0,176.0,15.0,5.0,99.0,32.0,33.0,7.0,0.0,0.0,57.0,57.0,1.62,5.42,46.0,57.0
